Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
Cantanhede (MA),4941,0.565,5446,0.497,4560,0.468,3987,0.774,,,,,,,,,,,,
Buriti dos Lopes (PI),4941,0.565,4804,0.544,4808,0.452,5063,0.735,,,,,,,,,,,,
Camamu (BA),4941,0.565,4403,0.562,4808,0.452,5398,0.71,,,,,,,,,,,,
Bodoc  (PE),4941,0.565,4828,0.543,4902,0.445,4876,0.745,,,,,,,,,,,,
S o Jos  do Divino (PI),4941,0.565,5110,0.529,4956,0.44,3948,0.775,,,,,,,,,,,,
Coivaras (PI),4941,0.565,4828,0.543,4793,0.453,5105,0.732,,,,,,,,,,,,
Inhambupe (BA),4941,0.565,4551,0.556,5096,0.429,4552,0.757,,,,,,,,,,,,
Prata do Piau  (PI),4941,0.565,5140,0.527,4862,0.448,4329,0.764,,,,,,,,,,,,
Can polis (BA),4941,0.565,5075,0.531,4631,0.463,5105,0.732,,,,,,,,,,,,
Senhora do Porto (MG),4941,0.565,3695,0.595,5443,0.378,3026,0.802,,,,,,,,,,,,
Jardim de Angicos (RN),4941,0.565,4529,0.557,4988,0.437,4978,0.74,,,,,,,,,,,,
Palm polis (MG),4941,0.565,4476,0.559,4988,0.437,5008,0.738,,,,,,,,,,,,
Feliz Deserto (AL),4941,0.565,4670,0.55,4646,0.462,5415,0.708,,,,,,,,,,,,
S o Jos  de Caiana (PB),4941,0.565,4779,0.545,5031,0.434,4400,0.762,,,,,,,,,,,,
Cacimba de Dentro (PB),4965,0.564,4649,0.551,5197,0.419,3871,0.777,,,,,,,,,,,,
Francin polis (PI),4965,0.564,5206,0.523,4430,0.475,5268,0.722,,,,,,,,,,,,
Gararu (SE),4965,0.564,4804,0.544,5173,0.422,3690,0.783,,,,,,,,,,,,
Itapororoca (PB),4965,0.564,4828,0.543,4988,0.437,4552,0.757,,,,,,,,,,,,
S tio do Mato (BA),4965,0.564,5547,0.455,3814,0.509,3987,0.774,,,,,,,,,,,,
Rafael Jambeiro (BA),4965,0.564,4945,0.538,5011,0.435,4204,0.768,,,,,,,,,,,,
Igaci (AL),4965,0.564,4740,0.547,5145,0.424,3987,0.774,,,,,,,,,,,,
Peritor  (MA),4965,0.564,5434,0.499,4614,0.464,3987,0.774,,,,,,,,,,,,
Galinhos (RN),4965,0.564,4023,0.578,5096,0.429,5254,0.723,,,,,,,,,,,,
S tio Novo (MA),4965,0.564,5359,0.509,4742,0.456,3987,0.774,,,,,,,,,,,,
Josen polis (MG),4965,0.564,4876,0.541,5145,0.424,3704,0.782,,,,,,,,,,,,
Coelho Neto (MA),4965,0.564,4804,0.544,4774,0.454,5175,0.728,,,,,,,,,,,,
Araripe (CE),4965,0.564,5297,0.515,4711,0.459,4484,0.759,,,,,,,,,,,,
Teot nio Vilela (AL),4965,0.564,4698,0.549,4588,0.466,5476,0.7,,,,,,,,,,,,
 gua Azul do Norte (PA),4965,0.564,4376,0.563,5338,0.399,3252,0.797,,,,,,,,,,,,
Pio Ix (PI),4965,0.564,4945,0.538,4956,0.44,4509,0.758,,,,,,,,,,,,
Alenquer (PA),4965,0.564,5110,0.529,4999,0.436,3775,0.779,,,,,,,,,,,,
Baixa Grande do Ribeiro (PI),4965,0.564,4963,0.537,4887,0.446,4732,0.751,,,,,,,,,,,,
Pil ezinhos (PB),4965,0.564,5062,0.532,5180,0.421,3026,0.802,,,,,,,,,,,,
Ilha Grande (PI),4984,0.563,5021,0.534,4487,0.472,5415,0.708,,,,,,,,,,,,
Presidente Juscelino (RN),4984,0.563,4628,0.552,4793,0.453,5367,0.713,,,,,,,,,,,,
Codaj s (AM),4984,0.563,4757,0.546,5180,0.421,3948,0.775,,,,,,,,,,,,
Salgadinho (PB),4984,0.563,5075,0.531,4774,0.454,4989,0.739,,,,,,,,,,,,
Lagoa (PB),4984,0.563,5037,0.533,4862,0.448,4826,0.747,,,,,,,,,,,,
Bom Conselho (PE),4984,0.563,3876,0.585,5053,0.433,5444,0.704,,,,,,,,,,,,
Almadina (BA),4984,0.563,4376,0.563,5180,0.421,4732,0.751,,,,,,,,,,,,
Pi arra (PA),4984,0.563,4425,0.561,5313,0.402,3428,0.792,,,,,,,,,,,,
Vertente do L rio (PE),4984,0.563,5062,0.532,4672,0.461,5207,0.726,,,,,,,,,,,,
Minador do Negr o (AL),4984,0.563,4876,0.541,5083,0.43,4245,0.767,,,,,,,,,,,,
Heli polis (BA),4984,0.563,4740,0.547,4988,0.437,4794,0.748,,,,,,,,,,,,
Patos do Piau  (PI),4984,0.563,5110,0.529,4862,0.448,4602,0.755,,,,,,,,,,,,
Eirunep  (AM),4984,0.563,4720,0.548,5071,0.431,4579,0.756,,,,,,,,,,,,
Presidente Juscelino (MA),4984,0.563,5550,0.452,3348,0.532,4916,0.743,,,,,,,,,,,,
S o Miguel da Baixa Grande (PI),4984,0.563,4529,0.557,5246,0.413,3987,0.774,,,,,,,,,,,,
Porto Alegre do Piau  (PI),4984,0.563,4927,0.539,4808,0.452,5105,0.732,,,,,,,,,,,,
Faro (PA),4984,0.563,5423,0.501,4532,0.47,4579,0.756,,,,,,,,,,,,
Madeiro (PI),4984,0.563,5528,0.472,4183,0.489,4064,0.772,,,,,,,,,,,,
Jundi  (AL),5002,0.562,4137,0.573,5031,0.434,5347,0.715,,,,,,,,,,,,
Cajazeiras do Piau  (PI),5002,0.562,5172,0.525,4852,0.449,4697,0.752,,,,,,,,,,,,
Nazarezinho (PB),5002,0.562,5127,0.528,4852,0.449,4826,0.747,,,,,,,,,,,,
Palmeirais (PI),5002,0.562,5297,0.515,4920,0.443,3897,0.776,,,,,,,,,,,,
Potengi (CE),5002,0.562,5110,0.529,4948,0.441,4484,0.759,,,,,,,,,,,,
Canudos (BA),5002,0.562,4583,0.554,4793,0.453,5423,0.707,,,,,,,,,,,,
Brejo (MA),5002,0.562,5271,0.517,4774,0.454,4509,0.758,,,,,,,,,,,,
Matias Ol mpio (PI),5002,0.562,5226,0.521,4973,0.438,3775,0.779,,,,,,,,,,,,
Malhada (BA),5002,0.562,5062,0.532,4774,0.454,5081,0.734,,,,,,,,,,,,
Marcol ndia (PI),5002,0.562,4023,0.578,4973,0.438,5476,0.7,,,,,,,,,,,,
Itatuba (PB),5002,0.562,4698,0.549,4999,0.436,4936,0.742,,,,,,,,,,,,
Itagua u da Bahia (BA),5002,0.562,4670,0.55,5011,0.435,4978,0.74,,,,,,,,,,,,
Barra de Santa Rosa (PB),5002,0.562,4855,0.542,5031,0.434,4661,0.753,,,,,,,,,,,,
Pedro Laurentino (PI),5002,0.562,5513,0.479,4047,0.496,4860,0.746,,,,,,,,,,,,
Trair o (PA),5002,0.562,3716,0.594,5375,0.392,4366,0.763,,,,,,,,,,,,
Areia de Bara nas (PB),5002,0.562,4288,0.566,4646,0.462,5555,0.68,,,,,,,,,,,,
Bom Lugar (MA),5002,0.562,5487,0.486,4095,0.493,4958,0.741,,,,,,,,,,,,
Itatira (CE),5002,0.562,5310,0.514,4631,0.463,4826,0.747,,,,,,,,,,,,
Sebasti o Leal (PI),5002,0.562,5284,0.516,4572,0.467,5049,0.736,,,,,,,,,,,,
Ilha das Flores (SE),5002,0.562,5310,0.514,4544,0.469,5063,0.735,,,,,,,,,,,,
Cajueiro (AL),5002,0.562,4855,0.542,4463,0.473,5516,0.691,,,,,,,,,,,,
Novo Oriente do Piau  (PI),5002,0.562,4740,0.547,5206,0.418,3948,0.775,,,,,,,,,,,,
Brejo da Madre de Deus (PE),5002,0.562,3955,0.581,5215,0.417,5081,0.734,,,,,,,,,,,,
Ponta de Pedras (PA),5002,0.562,4504,0.558,5256,0.412,4028,0.773,,,,,,,,,,,,
Oriz nia (MG),5002,0.562,4649,0.551,5238,0.414,3831,0.778,,,,,,,,,,,,
Marcion lio Souza (BA),5027,0.561,5259,0.518,4631,0.463,5032,0.737,,,,,,,,,,,,
Dirceu Arcoverde (PI),5027,0.561,4376,0.563,4999,0.436,5321,0.718,,,,,,,,,,,,
Po o Verde (SE),5027,0.561,4376,0.563,5215,0.417,4732,0.751,,,,,,,,,,,,
Monsenhor Hip lito (PI),5027,0.561,3769,0.591,5301,0.404,4989,0.739,,,,,,,,,,,,
Passagem Franca do Piau  (PI),5027,0.561,3716,0.594,5371,0.393,4509,0.758,,,,,,,,,,,,
Paulino Neves (MA),5027,0.561,5506,0.481,3774,0.511,5291,0.72,,,,,,,,,,,,
Geminiano (PI),5027,0.561,5191,0.524,4887,0.446,4602,0.755,,,,,,,,,,,,
Bonito (PE),5027,0.561,4476,0.559,5192,0.42,4625,0.754,,,,,,,,,,,,
Itaporanga D'Ajuda (SE),5027,0.561,4720,0.548,5238,0.414,3775,0.779,,,,,,,,,,,,
Am rica Dourada (BA),5027,0.561,5380,0.506,4614,0.464,4732,0.751,,,,,,,,,,,,
Turia u (MA),5027,0.561,5467,0.493,4672,0.461,3897,0.776,,,,,,,,,,,,
Anori (AM),5027,0.561,4903,0.54,5053,0.433,4552,0.757,,,,,,,,,,,,
Josel ndia (MA),5027,0.561,5037,0.533,4902,0.445,4916,0.743,,,,,,,,,,,,
C ndido Mendes (MA),5027,0.561,5235,0.52,4742,0.456,4876,0.745,,,,,,,,,,,,
Socorro do Piau  (PI),5027,0.561,5325,0.513,4599,0.465,4989,0.739,,,,,,,,,,,,
Bonito (BA),5027,0.561,4628,0.552,4572,0.467,5535,0.685,,,,,,,,,,,,
Ant nio Cardoso (BA),5027,0.561,4804,0.544,5173,0.422,4204,0.768,,,,,,,,,,,,
Jatob  (MA),5027,0.561,5215,0.522,4306,0.481,5462,0.702,,,,,,,,,,,,
Tut ia (MA),5027,0.561,4828,0.543,4821,0.451,5268,0.722,,,,,,,,,,,,
Atalaia (AL),5027,0.561,4779,0.545,5071,0.431,4697,0.752,,,,,,,,,,,,
Caatiba (BA),5027,0.561,3998,0.579,5287,0.406,4697,0.752,,,,,,,,,,,,
Jo o Costa (PI),5027,0.561,5352,0.51,4693,0.46,4697,0.752,,,,,,,,,,,,
Fagundes (PB),5049,0.56,4828,0.543,5062,0.432,4770,0.749,,,,,,,,,,,,
Campo Grande do Piau  (PI),5049,0.56,4779,0.545,4887,0.446,5284,0.721,,,,,,,,,,,,
Conde (BA),5049,0.56,4649,0.551,4821,0.451,5439,0.705,,,,,,,,,,,,
Pil es (PB),5049,0.56,4476,0.559,5269,0.409,4245,0.767,,,,,,,,,,,,
Una (BA),5049,0.56,3894,0.584,5145,0.424,5398,0.71,,,,,,,,,,,,
Arraial (PI),5049,0.56,5310,0.514,4852,0.449,4430,0.761,,,,,,,,,,,,
Goian sia do Par  (PA),5049,0.56,3876,0.585,5301,0.404,4916,0.743,,,,,,,,,,,,
Boqueir o do Piau  (PI),5049,0.56,4565,0.555,5031,0.434,5160,0.729,,,,,,,,,,,,
Japoat  (SE),5049,0.56,4649,0.551,4758,0.455,5476,0.7,,,,,,,,,,,,
Ourol ndia (BA),5049,0.56,4740,0.547,4711,0.459,5468,0.701,,,,,,,,,,,,
Sericita (MG),5049,0.56,3590,0.602,5455,0.375,3897,0.776,,,,,,,,,,,,
Planalto (BA),5049,0.56,4529,0.557,5104,0.428,5008,0.738,,,,,,,,,,,,
Nordestina (BA),5049,0.56,5377,0.507,4572,0.467,4916,0.743,,,,,,,,,,,,
S o Gon alo do Gurgu ia (PI),5049,0.56,4161,0.572,4973,0.438,5468,0.701,,,,,,,,,,,,
Borba (AM),5049,0.56,5062,0.532,5131,0.425,3897,0.776,,,,,,,,,,,,
Eldorado dos Caraj s (PA),5049,0.56,4161,0.572,5294,0.405,4552,0.757,,,,,,,,,,,,
Amatur  (AM),5049,0.56,5434,0.499,4758,0.455,4028,0.773,,,,,,,,,,,,
Bet nia (PE),5066,0.559,5037,0.533,4948,0.441,4936,0.742,,,,,,,,,,,,
Paje  do Piau  (PI),5066,0.559,4451,0.56,5111,0.427,5105,0.732,,,,,,,,,,,,
Irituia (PA),5066,0.559,4987,0.536,5111,0.427,4366,0.763,,,,,,,,,,,,
Olindina (BA),5066,0.559,5021,0.534,5308,0.403,2661,0.81,,,,,,,,,,,,
Granja (CE),5066,0.559,5457,0.495,4793,0.453,3831,0.778,,,,,,,,,,,,
S o Jo o da Varjota (PI),5066,0.559,4987,0.536,4693,0.46,5415,0.708,,,,,,,,,,,,
F tima (BA),5066,0.559,4583,0.554,4711,0.459,5533,0.686,,,,,,,,,,,,
Quebrangulo (AL),5066,0.559,4987,0.536,5180,0.421,3948,0.775,,,,,,,,,,,,
Salo  (PE),5066,0.559,4476,0.559,5180,0.421,4893,0.744,,,,,,,,,,,,
S o Jo o da Canabrava (PI),5066,0.559,4927,0.539,4887,0.446,5207,0.726,,,,,,,,,,,,
Gentio do Ouro (BA),5066,0.559,5206,0.523,4839,0.45,4916,0.743,,,,,,,,,,,,
Presidente Tancredo Neves (BA),5066,0.559,4288,0.566,5145,0.424,5193,0.727,,,,,,,,,,,,
Campestre (AL),5066,0.559,4670,0.55,5011,0.435,5160,0.729,,,,,,,,,,,,
Arataca (BA),5066,0.559,4529,0.557,5246,0.413,4509,0.758,,,,,,,,,,,,
Pedra Grande (RN),5066,0.559,5154,0.526,5083,0.43,4028,0.773,,,,,,,,,,,,
Borborema (PB),5081,0.558,4804,0.544,5123,0.426,4758,0.75,,,,,,,,,,,,
Bom Jesus das Selvas (MA),5081,0.558,4963,0.537,5071,0.431,4732,0.751,,,,,,,,,,,,
Palestina (AL),5081,0.558,5389,0.505,4572,0.467,5063,0.735,,,,,,,,,,,,
Esp rito Santo (RN),5081,0.558,4698,0.549,5164,0.423,4794,0.748,,,,,,,,,,,,
Pedra Preta (RN),5081,0.558,5096,0.53,5011,0.435,4697,0.752,,,,,,,,,,,,
Bernardino Batista (PB),5081,0.558,5154,0.526,4646,0.462,5339,0.716,,,,,,,,,,,,
Rio Vermelho (MG),5081,0.558,4288,0.566,5395,0.389,3594,0.787,,,,,,,,,,,,
Santo Ant nio do Itamb  (MG),5081,0.558,4963,0.537,5273,0.408,3362,0.794,,,,,,,,,,,,
Jacara  (PB),5081,0.558,4583,0.554,5011,0.435,5291,0.72,,,,,,,,,,,,
Morpar  (BA),5081,0.558,4987,0.536,4909,0.444,5105,0.732,,,,,,,,,,,,
Cara  (MG),5081,0.558,4698,0.549,5294,0.405,3726,0.781,,,,,,,,,,,,
Alto Alegre do Pindar  (MA),5081,0.558,5539,0.465,4272,0.483,3987,0.774,,,,,,,,,,,,
S o Sebasti o da Boa Vista (PA),5081,0.558,5235,0.52,4964,0.439,4452,0.76,,,,,,,,,,,,
Nova Olinda do Norte (AM),5081,0.558,4876,0.541,5256,0.412,3751,0.78,,,,,,,,,,,,
Ibirapitanga (BA),5081,0.558,4425,0.561,5229,0.415,4794,0.748,,,,,,,,,,,,
Guaratinga (BA),5081,0.558,4476,0.559,5287,0.406,4272,0.766,,,,,,,,,,,,
Bara na (PB),5081,0.558,5154,0.526,4711,0.459,5321,0.718,,,,,,,,,,,,
Presidente Sarney (MA),5098,0.557,5487,0.486,4487,0.472,4697,0.752,,,,,,,,,,,,
Santa Cruz do Arari (PA),5098,0.557,5499,0.483,4672,0.461,3948,0.775,,,,,,,,,,,,
Beneditinos (PI),5098,0.557,4425,0.561,5367,0.394,3751,0.78,,,,,,,,,,,,
Imaculada (PB),5098,0.557,5191,0.524,4672,0.461,5347,0.715,,,,,,,,,,,,
Careiro (AM),5098,0.557,5297,0.515,5071,0.431,3775,0.779,,,,,,,,,,,,
Palmeira do Piau  (PI),5098,0.557,4201,0.57,5071,0.431,5444,0.704,,,,,,,,,,,,
Serra Azul de Minas (MG),5098,0.557,4963,0.537,5342,0.398,2696,0.809,,,,,,,,,,,,
Floresta Azul (BA),5098,0.557,4720,0.548,5071,0.431,5128,0.731,,,,,,,,,,,,
Cansan  o (BA),5098,0.557,5096,0.53,4973,0.438,4876,0.745,,,,,,,,,,,,
S o F lix de Balsas (MA),5098,0.557,5271,0.517,5083,0.43,3831,0.778,,,,,,,,,,,,
Campo Alegre de Lourdes (BA),5098,0.557,5284,0.516,5083,0.43,3831,0.778,,,,,,,,,,,,
Barra de Santo Ant nio (AL),5098,0.557,4628,0.552,5104,0.428,5105,0.732,,,,,,,,,,,,
Lago Verde (MA),5098,0.557,5365,0.508,4588,0.466,5128,0.731,,,,,,,,,,,,
Tobias Barreto (SE),5098,0.557,3492,0.609,5301,0.404,5462,0.702,,,,,,,,,,,,
Montanhas (RN),5098,0.557,4609,0.553,4874,0.447,5476,0.7,,,,,,,,,,,,
Barreiras do Piau  (PI),5098,0.557,4451,0.56,5164,0.423,5145,0.73,,,,,,,,,,,,
S o Jos  dos Bas lios (MA),5098,0.557,5423,0.501,4332,0.48,5306,0.719,,,,,,,,,,,,
Barra (BA),5098,0.557,5401,0.503,4733,0.457,4758,0.75,,,,,,,,,,,,
Formosa da Serra Negra (MA),5116,0.556,5492,0.485,4711,0.459,3987,0.774,,,,,,,,,,,,
Itabaianinha (SE),5116,0.556,4565,0.555,5281,0.407,4430,0.761,,,,,,,,,,,,
Palmeir ndia (MA),5116,0.556,5481,0.488,4116,0.492,5347,0.715,,,,,,,,,,,,
Jaguaripe (BA),5116,0.556,4628,0.552,5281,0.407,4366,0.763,,,,,,,,,,,,
Ninheira (MG),5116,0.556,5172,0.525,5206,0.418,3670,0.784,,,,,,,,,,,,
Gurinh m (PB),5116,0.556,4804,0.544,5011,0.435,5175,0.728,,,,,,,,,,,,
Jequi  da Praia (AL),5116,0.556,5271,0.517,5083,0.43,4064,0.772,,,,,,,,,,,,
Buriticupu (MA),5116,0.556,5037,0.533,4758,0.455,5415,0.708,,,,,,,,,,,,
S o Jos  dos Cordeiros (PB),5116,0.556,4855,0.542,5281,0.407,3831,0.778,,,,,,,,,,,,
Flores (PE),5116,0.556,4804,0.544,5164,0.423,4876,0.745,,,,,,,,,,,,
Santa Luzia (BA),5116,0.556,4351,0.564,5359,0.396,4204,0.768,,,,,,,,,,,,
S o Miguel do Tapuio (PI),5116,0.556,5365,0.508,5031,0.434,3751,0.78,,,,,,,,,,,,
Riach o do Po o (PB),5128,0.555,4963,0.537,5123,0.426,4794,0.748,,,,,,,,,,,,
Jurema (PI),5128,0.555,5347,0.511,5011,0.435,4245,0.767,,,,,,,,,,,,
S o Bento do Norte (RN),5128,0.555,4876,0.541,5229,0.415,4452,0.76,,,,,,,,,,,,
V rzea Nova (BA),5128,0.555,4828,0.543,4693,0.46,5535,0.685,,,,,,,,,,,,
Venha-Ver (RN),5128,0.555,5423,0.501,4463,0.473,5268,0.722,,,,,,,,,,,,
Novo Oriente de Minas (MG),5128,0.555,4243,0.568,5325,0.4,4625,0.754,,,,,,,,,,,,
Nova Soure (BA),5128,0.555,4720,0.548,4964,0.439,5377,0.712,,,,,,,,,,,,
Cara bas (BA),5128,0.555,4201,0.57,5294,0.405,4989,0.739,,,,,,,,,,,,
Cocal de Telha (PI),5128,0.555,4670,0.55,5338,0.399,3751,0.78,,,,,,,,,,,,
Tanque D'Arca (AL),5128,0.555,5075,0.531,5083,0.43,4794,0.748,,,,,,,,,,,,
Amarante do Maranh o (MA),5128,0.555,4876,0.541,4948,0.441,5339,0.716,,,,,,,,,,,,
Santa Quit ria do Maranh o (MA),5128,0.555,5475,0.49,4724,0.458,4452,0.76,,,,,,,,,,,,
Teol ndia (BA),5128,0.555,4876,0.541,5206,0.418,4579,0.756,,,,,,,,,,,,
Tufil ndia (MA),5128,0.555,5415,0.502,4306,0.481,5405,0.709,,,,,,,,,,,,
Pacatuba (SE),5128,0.555,5310,0.514,4774,0.454,5128,0.731,,,,,,,,,,,,
Andara  (BA),5128,0.555,4903,0.54,5229,0.415,4329,0.764,,,,,,,,,,,,
Curralinhos (PI),5128,0.555,5337,0.512,4973,0.438,4400,0.762,,,,,,,,,,,,
Serid  (PB),5128,0.555,5127,0.528,4793,0.453,5359,0.714,,,,,,,,,,,,
Novo Aripuan  (AM),5146,0.554,5062,0.532,5180,0.421,4484,0.759,,,,,,,,,,,,
Novo Triunfo (BA),5146,0.554,5325,0.513,5083,0.43,4168,0.769,,,,,,,,,,,,
Bela Vista do Maranh o (MA),5146,0.554,5297,0.515,4839,0.45,5063,0.735,,,,,,,,,,,,
Avelino Lopes (PI),5146,0.554,5062,0.532,4936,0.442,5268,0.722,,,,,,,,,,,,
Oliveira dos Brejinhos (BA),5146,0.554,5037,0.533,5111,0.427,4826,0.747,,,,,,,,,,,,
Alto Alegre do Maranh o (MA),5146,0.554,5284,0.516,4909,0.444,4893,0.744,,,,,,,,,,,,
S o Luis do Piau  (PI),5146,0.554,5235,0.52,5053,0.433,4552,0.757,,,,,,,,,,,,
Joaquim Nabuco (PE),5146,0.554,4425,0.561,4852,0.449,5561,0.676,,,,,,,,,,,,
Penalva (MA),5146,0.554,5251,0.519,4487,0.472,5509,0.693,,,,,,,,,,,,
Nova Santa Rita (PI),5146,0.554,5235,0.52,5131,0.425,4131,0.77,,,,,,,,,,,,
Tacaimb  (PE),5146,0.554,4987,0.536,5164,0.423,4794,0.748,,,,,,,,,,,,
Riach o do Bacamarte (PB),5157,0.553,4425,0.561,5215,0.417,5284,0.721,,,,,,,,,,,,
Cajapi  (MA),5157,0.553,5537,0.466,3883,0.505,5291,0.72,,,,,,,,,,,,
Capit o Gerv sio Oliveira (PI),5157,0.553,5401,0.503,4614,0.464,5227,0.725,,,,,,,,,,,,
V rzea Branca (PI),5157,0.553,5259,0.518,4956,0.44,4916,0.743,,,,,,,,,,,,
Francisco Macedo (PI),5157,0.553,4268,0.567,5131,0.425,5468,0.701,,,,,,,,,,,,
Lagoa de Pedras (RN),5157,0.553,5110,0.529,4999,0.436,5081,0.734,,,,,,,,,,,,
Monte Alegre de Sergipe (SE),5157,0.553,4927,0.539,5071,0.431,5207,0.726,,,,,,,,,,,,
Imb  de Minas (MG),5157,0.553,4161,0.572,5353,0.397,4893,0.744,,,,,,,,,,,,
 gua Preta (PE),5157,0.553,5310,0.514,5062,0.432,4430,0.761,,,,,,,,,,,,
Jiquiri   (BA),5157,0.553,4504,0.558,5353,0.397,4366,0.763,,,,,,,,,,,,
Cristin polis (SE),5157,0.553,4903,0.54,5238,0.414,4602,0.755,,,,,,,,,,,,
Itaquara (BA),5157,0.553,4927,0.539,5260,0.411,4366,0.763,,,,,,,,,,,,
S o Jos  do Piau  (PI),5169,0.552,4226,0.569,5164,0.423,5476,0.7,,,,,,,,,,,,
Xex u (PE),5169,0.552,4698,0.549,4999,0.436,5456,0.703,,,,,,,,,,,,
Lagoa da Canoa (AL),5169,0.552,4876,0.541,4920,0.443,5456,0.703,,,,,,,,,,,,
Apuarema (BA),5169,0.552,4565,0.555,5246,0.413,5063,0.735,,,,,,,,,,,,
Cardeal da Silva (BA),5169,0.552,5206,0.523,4988,0.437,5063,0.735,,,,,,,,,,,,
Bujaru (PA),5169,0.552,5457,0.495,4988,0.437,3775,0.779,,,,,,,,,,,,
Placas (PA),5169,0.552,4876,0.541,5301,0.404,4131,0.77,,,,,,,,,,,,
Igua  (BA),5169,0.552,4476,0.559,5422,0.382,3629,0.786,,,,,,,,,,,,
Quipap  (PE),5169,0.552,5096,0.53,5111,0.427,4916,0.743,,,,,,,,,,,,
Caracol (PI),5169,0.552,5037,0.533,5269,0.409,4100,0.771,,,,,,,,,,,,
Ibimirim (PE),5169,0.552,5037,0.533,4887,0.446,5431,0.706,,,,,,,,,,,,
Cruz do Esp rito Santo (PB),5169,0.552,5075,0.531,5273,0.408,3831,0.778,,,,,,,,,,,,
Junco do Maranh o (MA),5169,0.552,4670,0.55,4920,0.443,5520,0.69,,,,,,,,,,,,
Jaramataia (AL),5169,0.552,5062,0.532,4821,0.451,5468,0.701,,,,,,,,,,,,
Itaip  (MG),5169,0.552,4201,0.57,5398,0.388,4484,0.759,,,,,,,,,,,,
S o Jos  do Jacu pe (BA),5169,0.552,4565,0.555,5215,0.417,5207,0.726,,,,,,,,,,,,
S o Jo o do Tigre (PB),5169,0.552,5206,0.523,5145,0.424,4509,0.758,,,,,,,,,,,,
Bel m do Piau  (PI),5186,0.551,4963,0.537,4862,0.448,5502,0.696,,,,,,,,,,,,
Tomar do Geru (SE),5186,0.551,5235,0.52,5062,0.432,4860,0.746,,,,,,,,,,,,
Tacima (PB),5186,0.551,5325,0.513,4839,0.45,5207,0.726,,,,,,,,,,,,
Boa Vista do Tupim (BA),5186,0.551,5310,0.514,4874,0.447,5160,0.729,,,,,,,,,,,,
Lagoa dos Gatos (PE),5186,0.551,4565,0.555,5222,0.416,5227,0.725,,,,,,,,,,,,
Barra do Cho a (BA),5186,0.551,4376,0.563,5405,0.386,4131,0.77,,,,,,,,,,,,
Manoel Urbano (AC),5186,0.551,3853,0.586,5462,0.373,4245,0.767,,,,,,,,,,,,
Porto Real do Col gio (AL),5186,0.551,5325,0.513,5071,0.431,4509,0.758,,,,,,,,,,,,
Domingos Mour o (PI),5194,0.55,4740,0.547,5308,0.403,4602,0.755,,,,,,,,,,,,
Santa Luzia (MA),5194,0.55,5172,0.525,4808,0.452,5476,0.7,,,,,,,,,,,,
Cajazeirinhas (PB),5194,0.55,5226,0.521,5246,0.413,4028,0.773,,,,,,,,,,,,
Cumaru do Norte (PA),5194,0.55,3095,0.635,5537,0.33,3329,0.795,,,,,,,,,,,,
Lagoa Alegre (PI),5194,0.55,4945,0.538,5131,0.425,5175,0.728,,,,,,,,,,,,
Jucati (PE),5194,0.55,4876,0.541,4821,0.451,5549,0.681,,,,,,,,,,,,
S o Jo o do Araguaia (PA),5194,0.55,5096,0.53,5145,0.424,4958,0.741,,,,,,,,,,,,
Ipecaet  (BA),5194,0.55,5380,0.506,5145,0.424,3897,0.776,,,,,,,,,,,,
 gua Fria (BA),5194,0.55,5110,0.529,5173,0.422,4826,0.747,,,,,,,,,,,,
Ipubi (PE),5194,0.55,4876,0.541,5053,0.433,5377,0.712,,,,,,,,,,,,
Morro do Chap u do Piau  (PI),5194,0.55,4987,0.536,5206,0.418,4936,0.742,,,,,,,,,,,,
Ielmo Marinho (RN),5194,0.55,5226,0.521,5206,0.418,4272,0.766,,,,,,,,,,,,
Janda ra (BA),5194,0.55,5347,0.511,5011,0.435,4770,0.749,,,,,,,,,,,,
Mat es (MA),5194,0.55,5251,0.519,5031,0.434,4989,0.739,,,,,,,,,,,,
Maranh ozinho (MA),5194,0.55,5446,0.497,4599,0.465,5306,0.719,,,,,,,,,,,,
Carauari (AM),5209,0.549,5021,0.534,5222,0.416,4876,0.745,,,,,,,,,,,,
Sa de (BA),5209,0.549,4757,0.546,4936,0.442,5535,0.685,,,,,,,,,,,,
Ipir  (BA),5209,0.549,4243,0.568,5392,0.39,4794,0.748,,,,,,,,,,,,
S o Sebasti o (AL),5209,0.549,4963,0.537,5062,0.432,5359,0.714,,,,,,,,,,,,
S o Vicente Ferrer (PE),5209,0.549,4504,0.558,5238,0.414,5347,0.715,,,,,,,,,,,,
Parazinho (RN),5209,0.549,4828,0.543,5145,0.424,5306,0.719,,,,,,,,,,,,
Ara agi (PB),5209,0.549,4903,0.54,5256,0.412,4876,0.745,,,,,,,,,,,,
Palmeirina (PE),5209,0.549,4583,0.554,4973,0.438,5549,0.681,,,,,,,,,,,,
Paulo Ramos (MA),5209,0.549,4757,0.546,4874,0.447,5556,0.677,,,,,,,,,,,,
Dom Inoc ncio (PI),5209,0.549,5442,0.498,4964,0.439,4579,0.756,,,,,,,,,,,,
